gmDate,seasonYR,teamAbbr,teamLoc,teamRslt,teamDayOff,teamTO,teamPF,teamFGA,teamFGM,teamFTA,teamFTM,teamORB,teamDRB,teamEFG%,teamTREB%,teamTO%,teamFT%
2012-11-24,2012,MIA,1,1,3,18,25,69,36,37,29,9,30,58.7,54.9296,17.4284,78.38
2012-11-24,2012,LAL,0,1,1,19,23,82,40,34,23,11,50,56.1,61.0,16.385,67.65
2012-11-24,2012,DAL,1,0,3,15,28,92,34,20,11,9,30,42.39,39.0,12.9534,55.0
2012-11-24,2012,CHI,0,1,3,16,18,82,32,26,25,20,34,41.46,57.4468,14.6199,96.15
2012-11-24,2012,MIL,1,0,3,10,20,88,38,10,7,10,30,44.89,42.5532,9.7656,70.0
2012-11-24,2012,UTA,0,0,1,18,26,79,32,30,22,17,21,47.47,50.6667,16.3339,73.33
2012-11-24,2012,SAC,1,1,1,14,20,74,40,32,22,14,23,58.11,49.3333,13.7147,68.75
2012-11-24,2012,MIN,0,0,1,11,24,86,33,19,14,11,28,41.28,44.8276,10.4404,73.68
2012-11-24,2012,GS,1,1,1,13,25,78,33,29,24,13,35,46.15,55.1724,12.5289,82.76
2012-11-25,2012,DET,0,0,2,20,22,78,37,22,17,10,28,53.21,50.6667,18.5736,77.27
2012-11-25,2012,NY,1,1,2,11,19,79,38,31,28,10,27,58.86,49.3333,10.6137,90.32
2012-11-25,2012,SA,0,1,2,12,18,103,44,19,15,7,45,46.6,46.0177,9.7276,78.95
2012-11-25,2012,TOR,1,0,2,13,25,110,40,24,20,17,44,39.09,53.9823,9.7335,83.33
2012-11-25,2012,POR,0,0,2,18,19,78,34,13,10,9,25,48.08,41.4634,17.6956,76.92
2012-11-25,2012,BKN,1,1,2,12,11,92,39,21,15,17,31,45.11,58.5366,10.597000000000001,71.43
2012-11-25,2012,BOS,0,1,2,15,22,105,47,19,15,17,34,48.1,54.8387,11.6859,78.95
2012-11-25,2012,ORL,1,0,2,19,19,90,41,19,17,10,32,51.67,45.1613,16.1895,89.47
2012-11-25,2012,PHO,0,0,2,12,23,83,39,20,19,9,32,49.4,55.4054,11.5607,95.0
2012-11-25,2012,PHI,1,1,1,8,18,81,39,23,17,6,27,53.7,44.5946,8.071,73.91
2012-11-25,2012,NO,0,0,2,14,18,85,33,20,12,15,25,42.35,49.3827,12.987,60.0
2012-11-25,2012,DEN,1,1,2,15,20,75,40,21,17,9,32,56.67,50.6173,15.1149,80.95
2012-11-26,2012,NY,0,0,1,14,24,85,33,24,17,17,33,42.35,50.0,12.7784,70.83
2012-11-26,2012,BKN,1,1,1,13,21,91,37,19,13,18,32,45.6,50.0,11.57,68.42
2012-11-26,2012,SA,0,1,1,15,15,80,45,20,15,10,33,64.38,51.8072,14.4509,75.0
2012-11-26,2012,WAS,1,0,2,11,18,90,37,17,14,15,25,43.33,48.1928,10.1401,82.35
2012-11-26,2012,POR,0,0,1,11,24,85,36,31,23,17,25,45.88,47.191,10.0328,74.19
2012-11-26,2012,DET,1,1,1,17,25,80,42,22,15,12,35,58.13,52.809,15.9355,68.18
2012-11-26,2012,CHA,0,0,2,13,19,79,23,22,17,11,26,32.91,40.6593,12.7852,77.27
2012-11-26,2012,OKC,1,1,2,16,21,78,40,23,21,9,45,59.62,59.3407,15.3669,91.3
2012-11-26,2012,MIL,0,1,2,12,17,85,39,19,12,13,23,47.65,47.3684,11.3895,63.16
2012-11-26,2012,CHI,1,0,2,15,21,80,35,19,17,14,26,46.88,52.6316,14.5124,89.47
2012-11-26,2012,CLE,0,0,2,18,23,76,31,15,12,14,27,43.42,55.4054,17.8926,80.0
2012-11-26,2012,MEM,1,1,3,15,15,71,33,18,14,10,23,49.3,44.5946,15.970999999999998,77.78
2012-11-26,2012,DEN,0,0,1,17,26,73,40,32,18,13,25,58.22,55.0725,16.3336,56.25
2012-11-26,2012,UTA,1,1,2,14,30,78,36,34,25,13,18,51.28,44.9275,13.089,73.53
2012-11-26,2012,NO,0,1,1,15,19,71,36,23,18,7,29,61.27,52.9412,15.6055,78.26
2012-11-26,2012,LAC,1,0,2,15,26,79,37,11,6,8,24,58.23,47.0588,15.175999999999998,54.55
2012-11-27,2012,DAL,0,0,3,15,22,81,37,22,19,9,28,48.77,48.0519,14.1938,86.36
2012-11-27,2012,PHI,1,1,2,17,25,75,35,32,24,13,27,50.67,51.9481,16.0256,75.0
2012-11-27,2012,PHO,0,1,2,15,19,79,37,18,11,7,32,50.63,46.4286,14.7174,61.11
2012-11-27,2012,CLE,1,0,1,19,21,84,30,22,16,14,31,36.9,53.5714,16.8619,72.73
2012-11-27,2012,TOR,0,0,2,16,15,86,42,12,9,11,28,53.49,46.4286,14.9142,75.0
2012-11-27,2012,HOU,1,1,4,14,15,83,44,21,16,12,33,60.84,53.5714,13.1777,76.19
2012-11-27,2012,MIN,0,1,3,17,16,83,38,18,15,12,39,49.4,58.6207,15.7524,83.33
2012-11-27,2012,SAC,1,0,3,14,19,84,37,14,9,8,28,47.62,41.3793,13.4409,64.29
2012-11-27,2012,IND,0,1,4,17,32,79,29,27,17,10,40,39.24,47.1698,15.7582,62.96
